Region;moy_glucide_dispo_gJ;Classement
Ile-de-France;207,16;15
Champagne;204,54;17
Picardie;207,23;14
Haute-Normandie;202,67;18
Centre;205,31;16
Basse-Normandie;216,11;5
Bourgogne;185,52;21
Nord Pas de Calais;214,97;6
Lorraine;221,99;2
Alsace;193,71;20
Franche Comté;213,74;8
Pas de la Loire;221,84;3
Bretagne;222,54;1
Poitou Charentes ;212,92;9
Aquitaine;207,24;13
Midi-Pyrénées ;199,31;19
Limousin;217,09;4
Rhône-Alpes ;214,06;7
Auvergne;209,86;11
Languedoc-Roussillon;210,76;10
Provence-Alpes-Côte d'Azur;209,13;12
France;210,10;
