reg_code,reg_name,value,delta,rank,avg
11,Ile-de-France,119.8011364,-23.95892178,18,157.5479191
21,Champagne,106.9761905,-32.09926788,21,157.5479191
22,Picardie,155.8333333,-1.088294742,13,157.5479191
23,Haute-Normandie,108.0493827,-31.41808323,20,157.5479191
24,Centre,214.6153846,36.22229091,1,157.5479191
25,Basse-Normandie,127.9891304,-18.7617766,17,157.5479191
26,Bourgogne,190.7142857,21.05160567,5,157.5479191
31,Nord Pas de Calais,133.48,-15.27657058,16,157.5479191
41,Lorraine,156.9767442,-0.362540407,12,157.5479191
42,Alsace,162.9375,3.42091535,9,157.5479191
43,Franche Comté,157.2151899,-0.211192367,11,157.5479191
52,Pays de la Loire,117.7972028,-25.23087356,19,157.5479191
53,Bretagne,138.0952381,-12.34715195,15,157.5479191
54,Poitou Charentes ,152.4074074,-3.26282421,14,157.5479191
72,Aquitaine,206.5568862,31.10734021,4,157.5479191
73,Midi-Pyrénées ,211.9662921,34.54083901,2,157.5479191
74,Limousin,206.6666667,31.17702088,3,157.5479191
82,Rhône-Alpes ,177.3043478,12.53994905,8,157.5479191
83,Auvergne,185.7692308,17.91284321,7,157.5479191
91,Languedoc-Roussillon,161.4655172,2.486607384,10,157.5479191
93,Provence-Alpes-Côte d'Azur,189.379085,20.20411701,6,157.5479191
